a,b,theta in radians
5,13,1.2036224929766774
5,14,1.2277723863741932
5,15,1.2490457723982544
5,16,1.2679114584199251
5,17,1.2847448850775784
5,18,1.299849476456476
5,19,1.313472611823808
5,20,1.3258176636680326
5,21,1.3370531459259951
5,22,1.3473197256542637
5,23,1.356735643231075
5,24,1.3654009376051293
5,25,1.373400766945016
5,26,1.380808038876181
5,27,1.3876855095324125
5,28,1.39408747072486
5,29,1.4000611153196139
5,30,1.4056476493802699
5,31,1.4108832036366774
5,32,1.4157995848709557
5,33,1.4204248987877621
5,34,1.4247840690836213
5,35,1.4288992721907328
5,36,1.4327903031373772
5,37,1.4364748848419282
5,38,1.4399689307208396
5,39,1.4432867685796584
5,40,1.446441332248135
5,41,1.449444326224133
5,42,1.452306367636759
5,43,1.455037109074086
5,44,1.457645345204412
5,45,1.460139105621001
5,46,1.4625257359344406
5,47,1.4648119688052967
5,48,1.467003986337854
5,49,1.4691074750318196
5,50,1.4711276743037347
5,51,1.473069419436178
5,52,1.4749371796848834
5,53,1.4767350921669102
5,54,1.4784669920632976
5,55,1.4801364395941514
5,56,1.4817467441603989
5,57,1.4833009859925053
5,58,1.484802035600656
5,59,1.4862525712818986
5,60,1.4876550949064553
5,61,1.4890119461769007
5,62,1.4903253155294358
5,63,1.4915972558254451
5,64,1.4928296929633542
5,65,1.4940244355251187
5,66,1.4951831835580667
5,67,1.4963075365810148
5,68,1.497399000893285
5,69,1.4984589962563017
5,70,1.4994888620096063
5,71,1.5004898626762722
5,72,1.501463193106688
5,73,1.5024099832043931
5,74,1.503331302272992
5,75,1.5042281630190728
5,76,1.5051015252424318
5,77,1.5059522992416898
5,78,1.5067813489605526
5,79,1.5075894948974364
5,80,1.5083775167989393
5,81,1.5091461561556376
5,82,1.5098961185169086
5,83,1.5106280756398869
5,84,1.5113426674862398
5,85,1.512040504079174
5,86,1.5127221672319426
5,87,1.513388212158097
5,88,1.5140391689728032
5,89,1.51467554409372
5,90,1.5152978215491797
5,91,1.5159064642007427
5,92,1.5165019148865906
5,93,1.517084597491664
5,94,1.5176549179499612
5,95,1.5182132651839548
5,96,1.5187600119856803
5,97,1.5192955158436712
5,98,1.5198201197195833
5,99,1.5203341527780407
6,6,0.7853981633974483
6,7,0.8621700546672264
6,8,0.9272952180016122
6,9,0.982793723247329
6,10,1.0303768265243125
6,11,1.0714496051147666
6,12,1.1071487177940904
6,13,1.1383885512243588
6,14,1.1659045405098132
6,15,1.1902899496825317
6,16,1.2120256565243244
6,17,1.2315037123408519
6,18,1.2490457723982544
6,19,1.2649174553900444
6,20,1.2793395323170296
6,21,1.2924966677897853
6,22,1.3045442776439713
6,23,1.3156139361740782
6,24,1.3258176636680326
6,25,1.3352513460740334
6,26,1.3439974787410107
6,27,1.3521273809209546
6,28,1.35970299357215
6,29,1.366778347202348
6,30,1.373400766945016
6,31,1.379611867197882
6,32,1.3854483767992019
6,33,1.3909428270024184
6,34,1.396124127786657
6,35,1.4010180528265581
6,36,1.4056476493802699
6,37,1.4100335861690618
6,38,1.4141944498128813
6,39,1.4181469983996315
6,40,1.4219063791853994
6,41,1.4254863161591944
6,42,1.4288992721907328
6,43,1.4321565896607387
6,44,1.4352686128093959
6,45,1.4382447944982226
6,46,1.4410937896389846
6,47,1.4438235371808177
6,48,1.446441332248135
6,49,1.4489538897749794
6,50,1.4513674007765582
6,51,1.4536875822280324
6,52,1.4559197213779975
6,53,1.458068715204519
6,54,1.460139105621001
6,55,1.4621351109543088
6,56,1.464060654145761
6,57,1.4659193880646628
6,58,1.4677147182721964
6,59,1.4694498235292288
6,60,1.4711276743037347
6,61,1.4727510495010574
6,62,1.4743225516123097
6,63,1.4758446204521403
6,64,1.477319545636307
6,65,1.4787494779314898
6,66,1.4801364395941514
6,67,1.4814823338016745
6,68,1.4827889532671559
6,69,1.4840579881189115
6,70,1.485291033116692
6,71,1.48648959426869
6,72,1.4876550949064553
6,73,1.4887888812687111
6,74,1.489892227639666
6,75,1.4909663410826592
6,76,1.492012365805753
6,77,1.4930313871921643
6,78,1.4940244355251187
6,79,1.4949924894337574
6,80,1.4959364790841299
6,81,1.4968572891369563
6,82,1.4977557614917774
6,83,1.4986326978352391
6,84,1.4994888620096063
6,85,1.5003249822161009
6,86,1.5011417530663285
6,87,1.501939837493852
6,88,1.5027198685368972
6,89,1.5034824510021916
6,90,1.5042281630190728
6,91,1.5049575574922027
6,92,1.5056711634605107
6,93,1.5063694873693432
6,94,1.5070530142622096
6,95,1.5077222088979845
6,96,1.5083775167989393
6,97,1.509019365234547
6,98,1.5096481641455954
6,99,1.5102643070127895
7,7,0.7853981633974483
7,8,0.851966327173272
7,9,0.9097531579442097
7,10,0.960070362405688
7,11,1.0040671092713902
7,12,1.042721878368537
7,13,1.0768549578753155
7,14,1.1071487177940904
7,15,1.1341691669813552
7,16,1.1583858851975093
7,17,1.1801892830972098
7,18,1.1999050379822342
7,19,1.217805938967986
7,20,1.2341215074081695
7,21,1.2490457723982544
7,22,1.2627435457711202
7,23,1.2753554896511765
7,24,1.2870022175865687
7,25,1.297787623708186
7,26,1.3078015951139772
7,27,1.317122230656254
7,28,1.3258176636680326
7,29,1.3339475658479765
7,30,1.3415643935179014
7,31,1.3487144248894165
7,32,1.3554386270971586
7,33,1.361773383988632
7,34,1.3677511095414314
7,35,1.373400766945016
7,36,1.3787483095541666
7,37,1.3838170568759856
7,38,1.3886280163221332
7,39,1.3932001595114087
7,40,1.3975506603425316
7,41,1.4016951007935197
7,42,1.4056476493802699
7,43,1.4094212163742053
7,44,1.4130275891989426
7,45,1.4164775508687777
7,46,1.4197809838735371
7,47,1.422946961536141
7,48,1.4259838285559576
7,49,1.4288992721907328
7,50,1.4317003853128254
7,51,1.4343937223939491
7,52,1.436985349320306
7,53,1.4394808878118086
7,54,1.441885555110905
7,55,1.4442041995149246
7,56,1.446441332248135
7,57,1.4486011561035415
7,58,1.4506875912279837
7,59,1.4527042983758027
7,60,1.4546546999149064
7,61,1.4565419988334571
7,62,1.4583691959647065
7,63,1.460139105621001
7,64,1.4618543698050308
7,65,1.4635174711464938
7,66,1.4651307446950408
7,67,1.4666963886852973
7,68,1.468216474376602
7,69,1.4696929550585982
7,70,1.4711276743037347
7,71,1.4725223735388875
7,72,1.4738786990005337
7,73,1.4751982081310562
7,74,1.476482375467716
7,75,1.4777325980704787
7,76,1.4789502005301591
7,77,1.4801364395941514
7,78,1.4812925084432862
7,79,1.4824195406500478
7,80,1.4835186138454353
7,81,1.4845907531191178
7,82,1.4856369341751898
7,83,1.4866580862637258
7,84,1.4876550949064553
7,85,1.4886288044331966
7,86,1.4895800203441592
7,87,1.49050951151188
7,88,1.491418012235323
7,89,1.4923062241575646
7,90,1.493174818057503
7,91,1.4940244355251187
7,92,1.494855690529002
7,93,1.4956691708841345
7,94,1.4964654396272314
7,95,1.4972450363063567
7,96,1.4980084781909715
7,97,1.4987562614080687
7,98,1.4994888620096063
7,99,1.500206736976023
8,8,0.7853981633974483
8,9,0.844153986113171
8,10,0.8960553845713439
8,11,0.9420000403794636
8,12,0.982793723247329
8,13,1.0191413442663497
8,14,1.0516502125483738
8,15,1.0808390005411683
8,16,1.1071487177940904
8,17,1.1309537439791604
8,18,1.1525719972156676
8,19,1.1722738811284763
8,20,1.1902899496825317
8,21,1.2068173702852525
8,22,1.2220253232109897
8,23,1.2360594894780819
8,24,1.2490457723982544
8,25,1.2610933822524404
8,26,1.2722973952087173
8,27,1.2827408797442708
8,28,1.2924966677897853
8,29,1.3016288340091962
8,30,1.3101939350475555
8,31,1.3182420510168371
8,32,1.3258176636680326
8,33,1.332960399337446
8,34,1.3397056595989996
8,35,1.346085158380254
8,36,1.3521273809209546
8,37,1.3578579772154995
8,38,1.3633001003596938
8,39,1.368474698416593
8,40,1.373400766945016
8,41,1.378095568132511
8,42,1.382574821490126
8,43,1.3868528702577214
8,44,1.3909428270024184
8,45,1.3948567013423687
8,46,1.3986055122719576
8,47,1.402199387185467
8,48,1.4056476493802699
8,49,1.4089588955564738
8,50,1.4121410646084953
8,51,1.415201498817867
8,52,1.4181469983996315
8,53,1.4209838702219992
8,54,1.423717971406494
8,55,1.4263547484202526
8,56,1.4288992721907328
8,57,1.431356269703559
8,58,1.433730152484709
8,59,1.4360250423171654
8,60,1.4382447944982226
8,61,1.4403930189057632
8,62,1.442473099109102
8,63,1.4444882097316563
8,64,1.446441332248135
8,65,1.4483352693775553
8,66,1.4501726582147938
8,67,1.4519559822271315
8,68,1.4536875822280324
8,69,1.4553696664279718
8,70,1.4570043196511886
8,71,1.4585935117976423
8,72,1.460139105621001
8,73,1.4616428638860188
8,74,1.463106455962076
8,75,1.4645314639038178
8,76,1.4659193880646628
8,77,1.4672716522843523
8,78,1.468589608687643
8,79,1.4698745421276027
8,80,1.4711276743037347
8,81,1.4723501675822634
8,82,1.473543128543331
8,83,1.4747076112775297
8,84,1.4758446204521403
8,85,1.4769551141655601
8,86,1.478040006606753
8,87,1.4791001705350335
8,88,1.4801364395941514
8,89,1.48114961047341
8,90,1.482140444927459
8,91,1.4831096716653962
8,92,1.4840579881189115
8,93,1.4849860620983946
8,94,1.4858945333451747
8,95,1.486784014987402
8,96,1.4876550949064553
8,97,1.4885083370202148
8,98,1.4893442824890257
8,99,1.4901634508497228
9,9,0.7853981633974483
9,10,0.83798122500839
9,11,0.8850668158886104
9,12,0.9272952180016122
9,13,0.9652516631899266
9,14,0.9994588469612699
9,15,1.0303768265243125
9,16,1.0584068664841588
9,17,1.0838970949836275
9,18,1.1071487177940904
9,19,1.1284221038181517
9,20,1.1479424006619559
9,21,1.1659045405098132
9,22,1.1824776086224307
9,23,1.1978086049948355
9,24,1.2120256565243244
9,25,1.2252407462131845
9,26,1.237552025683224
9,27,1.2490457723982544
9,28,1.2597980461893556
9,29,1.2698760924344714
9,30,1.2793395323170296
9,31,1.2882413743253092
9,32,1.2966288756752378
9,33,1.3045442776439713
9,34,1.312025434831199
9,35,1.31910635503671
9,36,1.3258176636680326
9,37,1.3321870042866957
9,38,1.3382393849899876
9,39,1.3439974787410107
9,40,1.3494818844471053
9,41,1.3547113544981102
9,42,1.35970299357215
9,43,1.3644724327651792
9,44,1.3690339824746096
9,45,1.373400766945016
9,46,1.3775848429470905
9,47,1.3815973046949284
9,48,1.3854483767992019
9,49,1.3891474967948847
9,50,1.392703388563699
9,51,1.396124127786657
9,52,1.3994172004053889
9,53,1.4025895549378105
9,54,1.4056476493802699
9,55,1.4085974933315142
9,56,1.4114446858909797
9,57,1.4141944498128813
9,58,1.4168516623365468
9,59,1.4194208830608703
9,60,1.4219063791853994
9,61,1.4243121484013355
9,62,1.4266419396817422
9,63,1.4288992721907328
9,64,1.4310874525057329
9,65,1.4332095903245468
9,66,1.4352686128093959
9,67,1.437267277703025
9,68,1.439208185336976
9,69,1.4410937896389846
9,70,1.4429264082348967
9,71,1.4447082317303062
9,72,1.446441332248135
9,73,1.4481276712904398
9,74,1.4497691069856915
9,75,1.4513674007765582
9,76,1.4529242235976803
9,77,1.4544411615880217
9,78,1.4559197213779975
9,79,1.4573613349876804
9,80,1.4587673643689087
9,81,1.460139105621001
9,82,1.4614777929069966
9,83,1.4627846020948503
9,84,1.464060654145761
9,85,1.465307018269806
9,86,1.4665247148672413
9,87,1.4677147182721964
9,88,1.4688779593140227
9,89,1.4700153277102288
9,90,1.4711276743037347
9,91,1.4722158131560936
9,92,1.4732805235073505
9,93,1.4743225516123097
9,94,1.4753426124621825
9,95,1.47634139139985
9,96,1.477319545636307
9,97,1.4782777056752499
9,98,1.479216476652211
9,99,1.4801364395941514
10,10,0.7853981633974483
10,11,0.8329812666744317
10,12,0.8760580505981934
10,13,0.9151007005533605
10,14,0.9505468408120751
10,15,0.982793723247329
10,16,1.0121970114513341
10,17,1.039072259536091
10,18,1.0636978224025597
10,19,1.0863183977578734
10,20,1.1071487177940904
10,21,1.1263771168937977
10,22,1.1441688336680205
10,23,1.1606689862534056
10,24,1.176005207095135
10,25,1.1902899496825317
10,26,1.2036224929766774
10,27,1.2160906747839564
10,28,1.2277723863741932
10,29,1.2387368592520112
10,30,1.2490457723982544
10,31,1.2587542052323633
10,32,1.2679114584199251
10,33,1.2765617616837088
10,34,1.2847448850775784
10,35,1.2924966677897853
10,36,1.299849476456476
10,37,1.3068326031691921
10,38,1.313472611823808
10,39,1.319793640151862
10,40,1.3258176636680326
10,41,1.331564726831236
10,42,1.3370531459259951
10,43,1.3422996875030344
10,44,1.3473197256542637
10,45,1.3521273809209546
10,46,1.356735643231075
10,47,1.3611564809206842
10,48,1.3654009376051293
10,49,1.3694792184202558
10,50,1.373400766945016
10,51,1.3771743339389513
10,52,1.380808038876181
10,53,1.3843094251276797
10,54,1.3876855095324125
10,55,1.3909428270024184
10,56,1.39408747072486
10,57,1.3971251284533228
10,58,1.4000611153196139
10,59,1.402900403544522
10,60,1.4056476493802699
10,61,1.4083072175776932
10,62,1.4108832036366774
10,63,1.413379454068306
10,64,1.4157995848709557
10,65,1.4181469983996315
10,66,1.4204248987877621
10,67,1.4226363060630653
10,68,1.4247840690836213
10,69,1.4268708774066803
10,70,1.4288992721907328
10,71,1.4308716562207788
10,72,1.4327903031373772
10,73,1.4346573659417559
10,74,1.4364748848419282
10,75,1.4382447944982226
10,76,1.4399689307208396
10,77,1.4416490366668766
10,78,1.4432867685796584
10,79,1.4448837011090985
10,80,1.446441332248135
10,81,1.4479610879170015
10,82,1.449444326224133
10,83,1.4508923414298727
10,84,1.452306367636759
10,85,1.4536875822280324
10,86,1.455037109074086
10,87,1.4563560215248332
10,88,1.457645345204412
10,89,1.4589060606232205
10,90,1.460139105621001
10,91,1.4613453776535332
10,92,1.4625257359344406
10,93,1.4636810034426648
10,94,1.4648119688052967
10,95,1.4659193880646628
10,96,1.467003986337854
10,97,1.4680664593762272
10,98,1.4691074750318196
10,99,1.4701276746370677
11,11,0.7853981633974483
11,12,0.8288490587889791
11,13,0.8685393952858895
11,14,0.9048270894157867
11,15,0.9380474917927134
11,16,0.9685089806599324
11,17,0.9964914966201949
11,18,1.0222469243443686
11,19,1.0460005551447893
11,20,1.0679531158670357
11,21,1.0882830317724197
11,22,1.1071487177940904
11,23,1.124690777851493
11,24,1.1410340476982082
11,25,1.1562894522101108
11,26,1.1705556697609225
11,27,1.1839206090638685
11,28,1.1964627107873127
11,29,1.208252089530389
11,30,1.219351532791345
11,31,1.2298173732985473
11,32,1.2397002500907646
11,33,1.2490457723982544
11,34,1.2578950989145121
11,35,1.2662854435927842
11,36,1.2742505177251962
11,37,1.2818209168023302
11,38,1.2890244595215445
11,39,1.295886485314224
11,40,1.3024301158889897
11,41,1.3086764855294237
11,42,1.3146449442292931
11,43,1.3203532371835447
11,44,1.3258176636680326
11,45,1.33105321792444
11,46,1.3360737143096995
11,47,1.3408918986629919
11,48,1.3455195475808412
11,49,1.3499675570655483
11,50,1.3542460218188073
11,51,1.3583643062861546
11,52,1.362331108414909
11,53,1.3661545169651188
11,54,1.3698420631067996
11,55,1.373400766945016
11,56,1.3768371795350034
11,57,1.3801574208808012
11,58,1.383367214351223
11,59,1.3864719178951976
11,60,1.3894765523934063
11,61,1.3923858274438563
11,62,1.3952041648447164
11,63,1.3979357200077518
11,64,1.4005844015094222
11,65,1.403153888963681
11,66,1.4056476493802699
11,67,1.4080689521545156
11,68,1.410420882818946
11,69,1.412706355673211
11,70,1.4149281253965742
11,71,1.4170887977364175
11,72,1.4191908393566237
11,73,1.4212365869211934
11,74,1.423228255480902
11,75,1.425167946224074
11,76,1.4270576536465704
11,77,1.4288992721907328
11,78,1.4306946023982663
11,79,1.4324453566177713
11,80,1.4341531643038095
11,81,1.4358195769409732
11,82,1.4374460726233442
11,83,1.4390340603169702
11,84,1.4405848838305002
11,85,1.4420998255168824
11,86,1.4435801097270087
11,87,1.445026906034369
11,88,1.446441332248135
11,89,1.4478244572305994
11,90,1.44917730353355
11,91,1.4505008498669425
11,92,1.4517960334121167
11,93,1.453063751990803
11,94,1.4543048661002465
11,95,1.4555202008239445
11,96,1.456710547626737
11,97,1.457876666042294
11,98,1.4590192852604178
11,99,1.460139105621001
12,12,0.7853981633974483
12,13,0.8253768505207383
12,14,0.8621700546672264
12,15,0.8960553845713439
12,16,0.9272952180016122
12,17,0.9561333748727311
12,18,0.982793723247329
12,19,1.0074800653029286
12,20,1.0303768265243125
12,21,1.0516502125483738
12,22,1.0714496051147666
12,23,1.089909046599561
12,24,1.1071487177940904
12,25,1.1232763516377269
12,26,1.1383885512243588
12,27,1.1525719972156676
12,28,1.1659045405098132
12,29,1.178456182579381
12,30,1.1902899496825317
12,31,1.201462669121271
12,32,1.2120256565243244
12,33,1.2220253232109897
12,34,1.2315037123408519
12,35,1.240498971965643
12,36,1.2490457723982544
12,37,1.2571756745781983
12,38,1.2649174553900444
12,39,1.2722973952087173
12,40,1.2793395323170296
12,41,1.2860658882721845
12,42,1.2924966677897853
12,43,1.2986504362637092
12,44,1.3045442776439713
12,45,1.3101939350475555
12,46,1.3156139361740782
12,47,1.3208177053340742
12,48,1.3258176636680326
12,49,1.3306253189347235
12,50,1.3352513460740334
12,51,1.3397056595989996
12,52,1.3439974787410107
12,53,1.3481353861585317
12,54,1.3521273809209546
12,55,1.355980926393238
12,56,1.35970299357215
12,57,1.3633001003596938
12,58,1.366778347202348
12,59,1.37014344947501
12,60,1.373400766945016
12,61,1.3765553306134928
12,62,1.379611867197882
12,63,1.382574821490126
12,64,1.3854483767992019
12,65,1.3882364736639898
12,66,1.3909428270024184
12,67,1.3935709418451772
12,68,1.396124127786657
12,69,1.3986055122719576
